"ID_CLIENTE";"mes";"pageviews";"microconversion"
"C0745097";"Abril";7;0
"C0685562";"Marzo";9;0
"C0114397";"Abril";6;0
"C0485591";"Abril";5;1
"C0873015";"Abril";7;0
"C0977057";"Marzo";8;0
"C0912917";"Marzo";8;0
"C0389466";"Marzo";10;0
"C0307679";"Marzo";8;0
"C0918801";"Marzo";15;1
"C0918602";"Marzo";5;0
"C0705810";"Abril";7;1
"C0687460";"Marzo";7;1
"C0118491";"Abril";6;0
"C0986116";"Marzo";7;0
"C0653606";"Abril";9;0
"C0811446";"Abril";4;0
"C0530987";"Marzo";11;0
"C0357643";"Abril";15;1
"C0671091";"Marzo";12;1
"C0227349";"Abril";6;0
"C0199330";"Abril";6;1
"C0619697";"Abril";12;1
"C0970772";"Abril";8;0
"C0661351";"Abril";12;1
"C0798605";"Marzo";13;1
"C0110227";"Marzo";10;1
"C0054206";"Marzo";6;0
"C0082490";"Marzo";6;0
"C0885120";"Abril";9;0
"C0913780";"Abril";12;1
"C0488269";"Abril";13;1
"C0329860";"Abril";5;1
"C0679909";"Abril";12;1
"C0449482";"Abril";15;1
"C0256149";"Abril";12;1
"C0571381";"Marzo";7;1
"C0299795";"Abril";7;0
"C0994659";"Abril";8;0
"C0847902";"Abril";14;1
"C0644032";"Abril";9;0
"C0062828";"Abril";7;0
"C0276854";"Abril";5;0
"C0619993";"Marzo";8;0
"C0893316";"Marzo";8;0
"C0455192";"Marzo";8;0
"C0466938";"Marzo";20;1
"C0058887";"Marzo";6;0
"C0060817";"Marzo";7;0
"C0584348";"Marzo";6;0
"C0649888";"Marzo";8;0
"C0327700";"Abril";5;0
"C0480734";"Marzo";7;1
"C0350130";"Abril";14;1
"C0541209";"Abril";22;1
"C0104794";"Abril";8;0
"C0409584";"Marzo";7;1
"C0248932";"Abril";5;1
"C0458794";"Abril";13;1
"C0953048";"Abril";7;0
"C0569685";"Abril";9;0
"C0466652";"Marzo";6;0
"C0901463";"Marzo";15;1
"C0738664";"Marzo";7;1
"C0518846";"Abril";4;0
"C0348111";"Abril";13;1
"C0390646";"Abril";5;0
"C0865604";"Abril";22;1
"C0871225";"Marzo";7;0
"C0849699";"Marzo";5;0
"C0483567";"Abril";8;0
"C0136431";"Abril";5;0
"C0002093";"Marzo";8;0
"C0661167";"Marzo";6;0
"C0396643";"Abril";6;0
"C0950040";"Marzo";6;0
"C0590131";"Marzo";5;0
"C0433263";"Abril";23;1
"C0994841";"Abril";5;0
"C0187756";"Abril";6;0
"C0543417";"Abril";6;0
"C0083914";"Abril";9;0
"C0788503";"Abril";21;1
"C0542873";"Abril";12;1
"C0292577";"Abril";7;0
"C0307507";"Abril";5;0
"C0371409";"Abril";7;0
"C0585033";"Abril";13;1
"C0014627";"Marzo";7;0
"C0166788";"Marzo";13;1
"C0591739";"Abril";7;0
"C0003803";"Abril";6;0
"C0365318";"Abril";9;0
"C0567899";"Marzo";9;0
"C0201503";"Marzo";5;0
"C0133520";"Marzo";9;0
"C0159661";"Abril";8;0
"C0600968";"Marzo";8;0
"C0042163";"Marzo";6;1
"C0939082";"Marzo";6;1
"C0950198";"Marzo";5;0
"C0634221";"Marzo";14;1
"C0586287";"Abril";21;1
"C0268347";"Marzo";8;0
"C0768551";"Abril";8;0
