Week,gripe porcina: (Spain),salmonella: (Spain),refugiados: (Spain)
9/11/2011,0,1,1
9/18/2011,0,1,1
9/25/2011,0,1,1
10/2/2011,0,1,1
10/9/2011,0,1,1
10/16/2011,0,2,1
10/23/2011,0,1,2
10/30/2011,0,1,1
11/6/2011,0,2,1
11/13/2011,0,1,1
11/20/2011,0,1,1
11/27/2011,0,1,1
12/4/2011,0,1,1
12/11/2011,0,2,1
12/18/2011,0,1,1
12/25/2011,0,1,0
1/1/2012,0,1,1
1/8/2012,0,1,1
1/15/2012,0,1,1
1/22/2012,0,1,1
1/29/2012,0,1,1
2/5/2012,0,2,1
2/12/2012,0,1,1
2/19/2012,0,1,1
2/26/2012,0,1,1
3/4/2012,0,1,1
3/11/2012,0,1,1
3/18/2012,0,1,1
3/25/2012,0,2,1
4/1/2012,0,1,1
4/8/2012,0,1,1
4/15/2012,0,1,1
4/22/2012,0,2,1
4/29/2012,0,1,1
5/6/2012,0,1,1
5/13/2012,0,2,1
5/20/2012,0,1,1
5/27/2012,0,1,1
6/3/2012,0,2,1
6/10/2012,0,2,1
6/17/2012,0,1,2
6/24/2012,0,2,1
7/1/2012,0,2,1
7/8/2012,0,1,1
7/15/2012,0,2,1
7/22/2012,0,2,1
7/29/2012,0,1,1
8/5/2012,0,1,1
8/12/2012,0,1,1
8/19/2012,0,1,1
8/26/2012,0,1,1
9/2/2012,0,1,1
9/9/2012,0,1,1
9/16/2012,0,1,1
9/23/2012,0,2,1
9/30/2012,0,2,1
10/7/2012,0,2,0
10/14/2012,0,2,1
10/21/2012,0,1,1
10/28/2012,0,1,1
11/4/2012,0,2,1
11/11/2012,0,2,1
11/18/2012,0,1,1
11/25/2012,0,2,1
12/2/2012,0,1,1
12/9/2012,0,1,1
12/16/2012,0,1,1
12/23/2012,0,1,0
12/30/2012,0,1,1
1/6/2013,0,1,1
1/13/2013,0,2,1
1/20/2013,0,2,1
1/27/2013,0,1,1
2/3/2013,0,2,1
2/10/2013,0,2,1
2/17/2013,0,1,1
2/24/2013,0,1,1
3/3/2013,0,2,1
3/10/2013,0,1,1
3/17/2013,0,2,1
3/24/2013,0,1,1
3/31/2013,0,1,1
4/7/2013,0,1,1
4/14/2013,0,2,1
4/21/2013,0,2,1
4/28/2013,0,1,1
5/5/2013,0,2,1
5/12/2013,0,2,1
5/19/2013,0,1,1
5/26/2013,0,2,1
6/2/2013,0,1,1
6/9/2013,0,2,1
6/16/2013,0,1,2
6/23/2013,0,2,1
6/30/2013,0,1,1
7/7/2013,0,1,0
7/14/2013,0,1,0
7/21/2013,0,1,1
7/28/2013,0,1,0
8/4/2013,0,1,1
8/11/2013,0,1,1
8/18/2013,0,2,1
8/25/2013,0,2,1
9/1/2013,0,2,1
9/8/2013,0,1,1
9/15/2013,0,2,1
9/22/2013,0,2,1
9/29/2013,0,2,1
10/6/2013,0,1,1
10/13/2013,0,2,1
10/20/2013,0,1,1
10/27/2013,0,2,1
11/3/2013,0,2,1
11/10/2013,0,1,1
11/17/2013,0,2,1
11/24/2013,0,2,1
12/1/2013,0,2,1
12/8/2013,0,1,1
12/15/2013,0,2,1
12/22/2013,0,1,1
12/29/2013,0,1,1
1/5/2014,0,1,1
1/12/2014,0,1,1
1/19/2014,0,1,1
1/26/2014,0,1,1
2/2/2014,0,1,1
2/9/2014,0,1,1
2/16/2014,0,1,1
2/23/2014,0,2,1
3/2/2014,0,1,1
3/9/2014,0,1,1
3/16/2014,0,1,1
3/23/2014,0,2,1
3/30/2014,0,2,1
4/6/2014,0,2,1
4/13/2014,0,1,1
4/20/2014,0,2,1
4/27/2014,0,2,1
5/4/2014,0,3,1
5/11/2014,0,2,1
5/18/2014,0,2,1
5/25/2014,0,2,1
6/1/2014,0,2,1
6/8/2014,0,2,1
6/15/2014,0,2,2
6/22/2014,0,1,1
6/29/2014,0,1,1
7/6/2014,0,1,1
7/13/2014,0,1,2
7/20/2014,0,1,1
7/27/2014,0,1,2
8/3/2014,0,2,1
8/10/2014,0,2,1
8/17/2014,0,2,1
8/24/2014,0,1,1
8/31/2014,0,1,2
9/7/2014,0,2,1
9/14/2014,0,2,1
9/21/2014,0,2,1
9/28/2014,0,1,1
10/5/2014,1,2,1
10/12/2014,0,2,2
10/19/2014,0,2,1
10/26/2014,0,2,1
11/2/2014,0,2,1
11/9/2014,0,2,2
11/16/2014,0,2,1
11/23/2014,0,2,1
11/30/2014,0,2,1
12/7/2014,0,2,1
12/14/2014,0,1,2
12/21/2014,0,1,1
12/28/2014,0,1,1
1/4/2015,0,1,2
1/11/2015,0,2,2
1/18/2015,0,2,1
1/25/2015,0,1,1
2/1/2015,0,1,1
2/8/2015,0,1,1
2/15/2015,0,1,1
2/22/2015,0,2,1
3/1/2015,0,2,2
3/8/2015,0,2,2
3/15/2015,0,2,2
3/22/2015,0,2,1
3/29/2015,0,1,2
4/5/2015,0,1,2
4/12/2015,0,1,2
4/19/2015,0,2,3
4/26/2015,0,2,10
5/3/2015,0,2,65
5/10/2015,0,2,38
5/17/2015,0,2,24
5/24/2015,0,2,20
5/31/2015,0,2,16
6/7/2015,0,2,14
6/14/2015,0,2,18
6/21/2015,0,2,6
6/28/2015,0,2,3
7/5/2015,0,2,3
7/12/2015,0,2,2
7/19/2015,0,2,2
7/26/2015,0,2,2
8/2/2015,0,2,2
8/9/2015,0,2,2
8/16/2015,0,2,3
8/23/2015,0,2,9
8/30/2015,0,1,70
9/6/2015,0,2,100
9/13/2015,0,2,66
9/20/2015,0,1,33
9/27/2015,0,2,19
10/4/2015,0,2,15
10/11/2015,0,2,13
10/18/2015,0,2,18
10/25/2015,0,2,16
11/1/2015,0,2,14
11/8/2015,0,2,20
11/15/2015,0,2,26
11/22/2015,0,2,13
11/29/2015,0,2,12
12/6/2015,0,2,10
12/13/2015,0,2,9
12/20/2015,0,1,6
12/27/2015,0,2,6
1/3/2016,0,1,11
1/10/2016,0,2,13
1/17/2016,0,2,13
1/24/2016,0,2,16
1/31/2016,0,1,12
2/7/2016,0,5,10
2/14/2016,0,2,10
2/21/2016,0,2,13
2/28/2016,0,2,12
3/6/2016,0,2,22
3/13/2016,0,2,38
3/20/2016,0,2,34
3/27/2016,0,2,21
4/3/2016,0,2,23
4/10/2016,0,2,21
4/17/2016,0,2,19
4/24/2016,0,2,15
5/1/2016,0,2,16
5/8/2016,0,2,16
5/15/2016,0,2,14
5/22/2016,0,2,21
5/29/2016,0,2,15
6/5/2016,0,2,13
6/12/2016,0,2,11
6/19/2016,0,2,14
6/26/2016,0,2,7
7/3/2016,0,2,5
7/10/2016,0,2,5
7/17/2016,0,2,6
7/24/2016,0,1,8
7/31/2016,0,2,8
8/7/2016,0,2,7
8/14/2016,0,2,6
8/21/2016,0,2,5
8/28/2016,0,2,5
9/4/2016,0,2,5
